t_s,Power_W,T_local_C,T_remote_C
272,1,32.6948668721062,29.6617242840901
273,1,32.7197412395374,29.6802712142677
274,1,32.7445855406136,29.6987968629663
275,1,32.7693998122258,29.7173012296562
276,1,32.7941840912071,29.7357843144238
277,1,32.8189384143327,29.7542461179561
278,1,32.8436628183203,29.7726866415264
279,1,32.8683573398309,29.7911058869791
280,1,32.8930220154687,29.8095038567162
281,1,32.9176568817817,29.8278805536832
282,1,32.9422619752618,29.8462359813556
283,1,32.9668373323456,29.8645701437258
284,1,32.9913829894144,29.8828830452905
285,1,33.0158989827944,29.9011746910377
286,1,33.0403853487574,29.9194450864348
287,1,33.0648421235209,29.9376942374165
288,1,33.0892693432485,29.955922150373
289,1,33.11366704405,29.9741288321388
290,1,33.138035261982,29.9923142899817
291,1,33.1623740330479,30.0104785315915
292,1,33.1866833931985,30.0286215650695
293,1,33.210963378332,30.0467433989185
294,1,33.2352140242943,30.0648440420322
295,1,33.2594353668796,30.0829235036856
296,1,33.2836274418303,30.1009817935252
297,1,33.3077902848373,30.1190189215597
298,1,33.3319239315404,30.1370348981507
299,1,33.3560284175285,30.1550297340037
300,1,33.38010377834,30.1730034401594
301,1,33.4041500494625,30.1909560279851
302,1,33.4281672663338,30.2088875091663
303,1,33.4521554643415,30.2267978956986
304,1,33.4761146788236,30.2446871998796
305,1,33.5000449450685,30.2625554343012
306,1,33.5239462983155,30.2804026118421
307,1,33.5478187737546,30.2982287456601
308,1,33.571662406527,30.3160338491851
309,1,33.5954772317255,30.3338179361118
310,1,33.6192632843941,30.351581020393
311,1,33.6430205995289,30.3693231162327
312,1,33.6667492120776,30.3870442380796
313,1,33.6904491569403,30.4047444006207
314,1,33.7141204689695,30.4224236187747
315,1,33.73776318297,30.4400819076863
316,1,33.7613773336994,30.45771928272
317,1,33.7849629558683,30.4753357594542
318,1,33.8085200841402,30.4929313536755
319,1,33.8320487531319,30.5105060813732
320,1,33.8555489974137,30.5280599587339
321,1,33.8790208515094,30.5455930021361
322,1,33.9024643498965,30.5631052281449
323,1,33.9258795270066,30.5805966535072
324,1,33.9492664172251,30.5980672951464
325,1,33.9726250548918,30.6155171701579
326,1,33.995955474301,30.6329462958042
327,1,34.0192577097012,30.6503546895104
328,1,34.0425317952959,30.6677423688596
329,1,34.0657777652433,30.6851093515885
330,1,34.0889956536565,30.7024556555831
331,1,34.1121854946038,30.7197812988749
332,1,34.1353473221089,30.737086299636
333,1,34.1584811701506,30.7543706761761
334,1,34.1815870726635,30.7716344469376
335,1,34.2046650635378,30.7888776304928
336,1,34.2277151766193,30.8061002455393
337,1,34.2507374457101,30.8233023108968
338,1,34.273731904568,30.8404838455038
339,1,34.2966985869073,30.8576448684135
340,1,34.3196375263983,30.874785398791
341,1,34.342548756668,30.8919054559097
342,1,34.3654323112998,30.9090050591483
343,1,34.3882882238337,30.9260842279874
344,1,34.4111165277668,30.9431429820066
345,1,34.4339172565528,30.9601813408815
346,1,34.4566904436025,30.9771993243808
347,1,34.479436122284,30.9941969523632
348,1,34.5021543259223,31.0111742447751
349,1,34.5248450878001,31.0281312216474
350,1,34.5475084411573,31.0450679030931
351,1,34.5701444191915,31.0619843093047
352,1,34.592753055058,31.0788804605515
353,1,34.6153343818698,31.0957563771774
354,1,34.6378884326978,31.1126120795982
355,1,34.6604152405709,31.1294475882996
356,1,34.6829148384759,31.1462629238344
357,1,34.7053872593581,31.1630581068208
358,1,34.7278325361208,31.1798331579399
359,1,34.7502507016258,31.1965880979336
360,1,34.7726417886933,31.2133229476025
361,1,34.7950058301022,31.2300377278039
362,1,34.8173428585897,31.2467324594498
363,1,34.8396529068522,31.2634071635052
364,1,34.8619360075445,31.2800618609857
365,1,34.8841921932807,31.296696572956
366,1,34.9064214966336,31.3133113205282
367,1,34.9286239501353,31.3299061248596
368,1,34.950799586277,31.3464810071514
369,1,34.9729484375092,31.3630359886468
370,1,34.9950705362416,31.3795710906296
371,1,35.0171659148435,31.3960863344221
372,1,35.0392346056438,31.4125817413843
373,1,35.0612766409306,31.4290573329115
374,1,35.0832920529522,31.4455131304336
375,1,35.1052808739163,31.4619491554131
376,1,35.1272431359906,31.478365429344
377,1,35.1491788713025,31.4947619737504
378,1,35.1710881119397,31.5111388101847
379,1,35.1929708899497,31.5274959602271
380,1,35.2148272373404,31.5438334454835
381,1,35.2366571860796,31.5601512875848
382,1,35.2584607680957,31.5764495081855
383,1,35.2802380152774,31.5927281289623
384,1,35.3019889594736,31.6089871716133
385,1,35.323713632494,31.6252266578566
386,1,35.3454120661088,31.6414466094293
387,1,35.3670842920488,31.6576470480864
388,1,35.3887303420056,31.6738279955997
389,1,35.4103502476315,31.6899894737568
390,1,35.4319440405397,31.7061315043601
391,1,35.4535117523045,31.7222541092258
392,1,35.4750534144609,31.7383573101831
393,1,35.4965690585053,31.7544411290729
394,1,35.5180587158949,31.7705055877473
395,1,35.5395224180483,31.7865507080683
396,1,35.5609601963454,31.8025765119073
397,1,35.5823720821273,31.8185830211441
398,1,35.6037581066967,31.8345702576661
399,1,35.6251183013174,31.8505382433673
400,1,35.6464526972152,31.8664870001479
401,1,35.6677613255771,31.8824165499131
402,1,35.6890442175518,31.8983269145728
403,1,35.7103014042501,31.9142181160404
404,1,35.731532916744,31.9300901762325
405,1,35.7527387860677,31.9459431170678
406,1,35.7739190432173,31.961776960467
407,1,35.7950737191508,31.9775917283515
408,1,35.8162028447881,31.993387442643
409,1,35.8373064510113,32.0091641252632
410,1,35.8583845686646,32.0249217981326
411,1,35.8794372285544,32.0406604831704
412,1,35.9004644614495,32.0563802022937
413,1,35.9214662980807,32.0720809774167
414,1,35.9424427691415,32.0877628304507
415,1,35.9633939052877,32.1034257833032
416,1,35.9843197371374,32.1190698578771
417,1,36.0052202952716,32.134695076071
418,1,36.0260956102336,32.1503014597777
419,1,36.0469457125294,32.1658890308847
